2022-09-08 06:06:27,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.gijebej.bar/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567756229652676615
2022-09-08 06:07:28,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.pqxamup.bar/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567756485920452608
2022-09-08 06:08:17,AP_Zenmashi,url,https://www.eckl-uanset.top,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567756692225691650
2022-09-08 06:08:29,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.i59bh36.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567756741823307779
2022-09-08 06:09:28,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.cou17gj.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567756987777286144
2022-09-08 06:10:21,AP_Zenmashi,url,https://www.eckl-uanrzt.top,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567757212961079296
2022-09-08 06:10:31,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.0aluzd9.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567757252060413953
2022-09-08 06:11:31,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.j5ubutg.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567757503605407745
2022-09-08 06:12:31,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.bqtksis.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567757757289500672
2022-09-08 06:14:30,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.0dkul2k.tokyo/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567758258051649537
2022-09-08 06:14:50,pbisialski,url,https://www.securealert.xyz/,#phishing,https://twitter.com/pbisialski/status/1567758338472943617
2022-09-08 06:15:03,HeliosCert,sha256,7c1d08e38fcac0c5e6b095fb3102f53e16208414ceed1866a121effa7f98a3a4,#malware,https://twitter.com/HeliosCert/status/1567758395247050752
2022-09-08 06:15:34,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.mbizjf.cyou/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567758522934530049
2022-09-08 06:16:32,quicksandphish,url,http://www.avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.cxzuod.sa.com/k7oimyjheu/page1.php,#phishing,https://twitter.com/quicksandphish/status/1567758766279659521
2022-09-08 06:24:16,phishunt_io,url,https://x2apple.org/,#phishing #scam,https://twitter.com/phishunt_io/status/1567760714848239616
2022-09-08 06:24:16,phishunt_io,ip,190.123.44.102,#phishing #scam,https://twitter.com/phishunt_io/status/1567760714848239616
2022-09-08 06:32:02,yvesago,url,https://fom.li/f/bv8e4evwzy,#phishing,https://twitter.com/yvesago/status/1567762670584995841
2022-09-08 06:32:12,ecarlesi,url,https://thereti.shop,#phishing,https://twitter.com/ecarlesi/status/1567762709172703234
2022-09-08 06:35:04,HeliosCert,ip,143.137.207.21,#malware,https://twitter.com/HeliosCert/status/1567763430228086784
2022-09-08 06:35:04,HeliosCert,sha256,8531c32de49c1fbb92d1fa8071f269dc94f3f723d35f9d8426948bfb32536baf,#malware,https://twitter.com/HeliosCert/status/1567763430228086784
2022-09-08 06:38:13,ecarlesi,url,https://tazlip.store,#phishing,https://twitter.com/ecarlesi/status/1567764224214028288
2022-09-08 06:41:45,ecarlesi,url,http://babymural.store,#phishing,https://twitter.com/ecarlesi/status/1567765115243532290
2022-09-08 06:47:00,Vanessa59367032,url,https://poocioon.rekitmi.ml/,#phishing #scam,https://twitter.com/Vanessa59367032/status/1567766434851192834
2022-09-08 06:53:02,ecarlesi,url,https://eqoisd.store,#phishing,https://twitter.com/ecarlesi/status/1567767952451051528
2022-09-08 06:55:47,BumbledBubble,url,https://metamask.asia,#phishing,https://twitter.com/BumbledBubble/status/1567768643961864200
2022-09-08 07:00:47,AP_Zenmashi,url,https://sdsgf.0qxnt4u.cn,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567769902492299265
2022-09-08 07:01:27,AP_Zenmashi,url,https://zip-co.club,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567770070012788744
2022-09-08 07:01:27,AP_Zenmashi,ip,209.141.60.198,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1567770070012788744
2022-09-08 07:03:10,ecarlesi,url,https://newjacobow.buzz/kitchenandassociates.com/,#phishing,https://twitter.com/ecarlesi/status/1567770504697729024
2022-09-08 07:06:28,quicksandphish,url,http://login.web-ib-mizuhabenkn.com/client/index.php,#phishing,https://twitter.com/quicksandphish/status/1567771332930314240
2022-09-08 07:15:44,ecarlesi,url,https://changcgading.xyz/,#phishing,https://twitter.com/ecarlesi/status/1567773666544422913
2022-09-08 07:22:41,PeckShieldAlert,domain,fork.xn--ethreum-v8a.org,#phishing,https://twitter.com/PeckShieldAlert/status/1567775414348828672
2022-09-08 07:25:03,HeliosCert,ip,49.228.178.239,#malware,https://twitter.com/HeliosCert/status/1567776010904412160
2022-09-08 07:25:03,HeliosCert,sha256,fcc262b6c98379426983a33fb85e7a3043dd5ec28d3c1fe5c6f4cd8f1e772db8,#malware,https://twitter.com/HeliosCert/status/1567776010904412160
