2022-09-15 07:28:51,quicksandphish,url,https://www.1-sso-nifty.duckdns.org/ja-jp/login.php,#phishing,https://twitter.com/quicksandphish/status/1570313681891893250
2022-09-15 07:29:50,quicksandphish,url,https://langin-myjcb.xyz/one.php,#phishing,https://twitter.com/quicksandphish/status/1570313929271947265
2022-09-15 07:31:43,ecarlesi,url,https://aceus3fa20lu20.com,#phishing,https://twitter.com/ecarlesi/status/1570314404398252035
2022-09-15 07:36:13,PhantomXSec,ip,45.12.2.67,#phishing,https://twitter.com/PhantomXSec/status/1570315537837883393
2022-09-15 07:36:13,PhantomXSec,domain,getdoodles.top,#phishing,https://twitter.com/PhantomXSec/status/1570315537837883393
2022-09-15 07:37:12,ecarlesi,url,https://felpshiper.com/inicio/,#phishing,https://twitter.com/ecarlesi/status/1570315782684303362
2022-09-15 07:40:09,ecarlesi,url,https://aib-security-helpline-update.com/,#phishing,https://twitter.com/ecarlesi/status/1570316526120574982
2022-09-15 07:40:36,ecarlesi,url,https://aib-security-helpline-update.com/alert.php,#phishing,https://twitter.com/ecarlesi/status/1570316637676654593
2022-09-15 07:41:35,StopMalvertisin,ip,20.163.5.160,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:41:35,StopMalvertisin,url,http://titiopatas4599.hopto.org/config.txt,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:41:35,StopMalvertisin,url,http://20.168.7.145/867.php,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:41:35,StopMalvertisin,ip,20.0.2.192,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:41:35,StopMalvertisin,ip,20.168.7.145,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:41:35,StopMalvertisin,url,http://20.0.2.192/brume.php,,https://twitter.com/StopMalvertisin/status/1570316886285623298
2022-09-15 07:44:00,harugasumi,url,https://www.gogogummo.com/jp.php,#phishing,https://twitter.com/harugasumi/status/1570317493788606464
2022-09-15 07:50:28,illegalFawn,url,https://legogos.com,#scam,https://twitter.com/illegalFawn/status/1570319123724238850
2022-09-15 07:50:47,ecarlesi,url,http://amzrsxwcvxrvx.com,#phishing,https://twitter.com/ecarlesi/status/1570319201939738624
2022-09-15 07:51:11,ecarlesi,url,http://amzrsxwcvxrvsx.com,#phishing,https://twitter.com/ecarlesi/status/1570319301416226816
2022-09-15 07:51:12,ecarlesi,url,http://chpapelling2ouf.lol/,#phishing,https://twitter.com/ecarlesi/status/1570319305685831682
2022-09-15 07:51:12,ecarlesi,url,http://amzrsxwrcvxrx.com,#phishing,https://twitter.com/ecarlesi/status/1570319308709928960
2022-09-15 07:51:30,ecarlesi,url,http://amzrsxwrcvxx.com,#phishing,https://twitter.com/ecarlesi/status/1570319383947538433
2022-09-15 07:51:33,ecarlesi,url,http://amzrsxwrcvxrvx.com,#phishing,https://twitter.com/ecarlesi/status/1570319394206584832
